row_no,award_id,oi_name,host_organization,grant_title,grant_description,recipient,award_supercat,award_cat
1,360g::360G-Wellcome-214445_Z_18_A,"[""PREreview""]","[""Code for Science & Society""]",Rapid PREreview: a rapid preprint review platform to support outbreak science,"As part of this Research Enrichment activity, we plan to:


 Understand specific workflows/needs of underrepresented groups. The funds will support two UX sprint events to help us understand the needs and workflows of key stakeholders from communities underrepresented in science and scholarly communication and involved in outbreak response.
 Design and distribute a survey. Based on what we learned during the sprints, we will design and distribute a survey to understand the needs of underrepresented groups in the outbreak science community world-wide.
 Incorporate feedback into Rapid PREreview. The feedback from the sprints and the survey will guide key decisions related to UI/UX design and development of the platform.
 Publish/open-source the process by which we designed for the inclusion of underrepresented groups. Because we are committed to open and transparent innovation and we want others to learn from our experience, we will publish our learnings as a series of blog posts, resources, and/or as a preprint, focusing on lessons learned and methodologies used.
 Form a project advisory committee with people from underrepresented groups. While we believe this work will help us build a platform that includes the voices and serves the needs of underrepresented groups, we think that is not enough. The sprints will help us develop connections that we intend to nurture and strengthen beyond the timeframe of the grant. We will invite people from underrepresented groups that have expressed an interest in this project to join our leadership.

",Code for Science and Society,DIRECT,RESEARCH & DEVELOPMENT
2,neh::HD-51863-14,"[""Knowledge Commons""]","[""Michigan State University""]",,"Humanities CORE > The Modern Language Association (MLA) and the Columbia University Libraries/Information Services' Center for Digital Research and Scholarship (CDRS) are currently working together on the development of Humanities Commons, a platform for scholarly societies and related groups across the humanities, enabling members of those organizations to communicate, collaborate, and share their work with one another. Humanities Commons will link a federated group of social networking systems, modeled on MLA Commons, with a library-quality repository, modeled on Columbia's Academic Commons. We propose in this stage of the project to develop a working prototype for the user interface connecting the Commons with the repository system, which we are calling Humanities Commons Open Repository Exchange, or Humanities CORE. This interface will allow Commons members to upload, share, discover, retrieve, and archive digital work and other objects within the same system in which they are already collaborating with one another.","Modern Language Association of America, Inc.",DIRECT,RESEARCH & DEVELOPMENT
3,imls:log_number::LG-05-11-0329-11  (a),"[""Mukurtu""]","[""Washington State University""]",,"Open-source and commercial tools for building and operating digital libraries work well for a wide range of organizations but are less well suited to the needs of tribal libraries, archives, and museums, owing to cultural protocols for sharing information, diverse intellectual property systems among tribes, and the fractured or distributed nature of collections about indigenous groups. To address these needs, researchers at Washington State University will partner with Smallbean, Inc.; the University of California-Berkeley; the Association of Tribal Archives, Libraries, and Museums; CivicActions, Inc.; the National Anthropological Archives; and the National Museum of the American Indian to deploy, evaluate, and refine a software tool that accommodates tribal organizations’ needs. The tool, named Mukurtu, will be made freely available as open-source software, complete with full documentation and a toolkit for tribal organizations wishing to construct and operate digital libraries.",Washington State University (Washington State University Vancouver Library),DIRECT,RESEARCH & DEVELOPMENT
4,corda__h2020::0f7dc7c15824366ff4e4807e298b94e7,"[""Europe PMC""]","[""EMBL-EBI (European Molecular Biology Laboratory)""]",Support to the Europe PMC initiative (2021-2026),"This  proposed action will ensure the continued support to the European Research Council (ERC) in the implementation of its Open Access strategy for projects funded in the Life Sciences domain. The ERC was first able to offer the benefits of Europe PubMed Central (Europe PMC http://europepmc.org) to its funded researchers in 2013 through â€œSupport towards the Europe PMC initiative â€“ Contribution for 2013â€ (ERC-EuropePMC-SUP-2013). Since then two subsequent rounds of funding have ensured the continuation of this provision (â€œSupport towards the Europe PMC initiative â€“ Contribution for 2014-2016â€ (ERC-EuropePMC-1-2014) and â€œSupport to the Europe PMC initiative â€“ Co-funding grant for the 2016-2021 periodâ€ (ERC-EuropePMC-2015)). 

The project for which funding is sought, on a co-funding basis, concerns the awarding  and monitoring of a grant to EMBL-EBI to ensure the continued maintenance and development of Europe PMC. The application from EMBL-EBI to Wellcome Trust outlines their strategy and objectives for Europe PMC including further development of its services in the areas of data linkage and text mining to enrich content within the repository and to support the monitoring of funder open access policies. Support is requested for the period 1st April 2021 â€“ 31st March 2026 (60 months).",[Wellcome Trust],ADJACENT,ADJACENT
5,sshrc_ca:grants::187599,"[""Dataverse""]","[""Harvard University (IQSS)""]",Alberta Research-Data Management Information Network (ARMIN),dissemination; workshop; research data management capacity building initiative; dataverse; research data; data ownership; data stewardship,Concordia University of Edmonton,ADJACENT,ADJACENT
6,2310842,"[""International Generic Sample Number (IGSN)""]","[""DataCite""]",Continued Curation of the Antarctic Core Collection in the OSU/CEOAS Marine and Geology Repository,"The College of Earth, Ocean, and Atmospheric Sciences at Oregon State University established the Marine and Geology Repository (OSU-MGR) in 1971 as an NSF-sponsored community facility. For more than 50 years the mission of the OSU-MGR has remained to archive and distribute geological samples and associated metadata from sediment cores, rocks, nodules, and sediment trap samples collected as part of research cruises, for research and education. Since 2019, this collection has been expanded with the NSF’s Antarctic Core Collection including 15,429 m of marine sediments from 5,283 cores and 7,603 m of drill core from 94 sites. Through high quality archiving of rocks and sediment under continuous refrigeration, these one-of-a-kind materials are preserved for the scientific community. Over the past 30 years, more than 190,000 samples have been distributed to scientists, educators, and museums throughout the United States and around the world. To date, driven by opportunities, capabilities, and community needs, OSU-MGR has expanded its mandate to include data captured from field programs, the acquisition of high-quality non-destructive data within the OSU-MGR laboratories that are archived and distributed upon request, and a range of educational products from tours to undergraduate and graduate courses to summer Research Experience for Undergraduate (REU) programs, and summers schools. The OSU-MGR employs four curators and a software engineering consultant, as well as a cohort of undergraduate student workers from diverse backgrounds that provide a wide range of experiences and opportunities. <br/> <br/>The OSU-MGR Antarctic core collection (ACC) consists of approximately 15,500 m of marine sediments from more than 5,200 cores and 9,000 m of drill core from 96 sites, including large drilling programs such as the Antarctic Drilling Project (ANDRILL), Cape Roberts Project (CRP), Cenozoic Investigation in the Western Ross Sea (CIROS), Dry Valley Drilling Project (DVDP). Along with an accompanying award by Marine Geology & Geophysics program of the Division of Ocean Sciences, this project will continue and expand the operation of OSU-MGR as a national repository. Objectives include the continuation of primary repository duties (e.g., sample acquisition, curation, cataloging, metadata management, quality assurance and control, requests and accessions, etc.) and also to make progress on series of long-term objectives, such as: (1) The continued development of the OSU-MGR App, database, and website to improve services to the community, including virtual capabilities, data acquisition and access, and remote sampling. (2) Collect, capture, and serve non-destructive data from both shipboard and repository sources with the development of the new FIESTA Core Data Repository (CDR) funded through EarthCube, adding value to the OSU-MGR collections and empowering the research community. (3) Support teaching, training, and learning through use of the OSU-MGR repository in graduate, undergraduate, K-12 classes, REU programs, summers schools, and employing undergraduate student workers from diverse backgrounds, as well as by opening the facility to the general public for tours, open houses, and presentations. Products from the ACC Repository are disseminated widely through the OSU-MGR website and national databases (National Center for Environmental Information, NCEI; Core Data Repository, CDR). The OSU-MGR online data repository will be FAIR—Findable, Accessible, Interoperable, Reproducible—by linking sample data to unique identifiers including DOI, ORCID, IGSN, R2R Expedition IDs. Specific actions for the next five years include: (1) Finalizing the metadata transfer into OSU-MGR App and database following the transfer and needed recuration of the ACC into the OSU-MGR. (2) Fully managing the sample request workflow through the OSU-MGR web interface. (3) Setting up the OSU-MGR App for future re-use at other repositories while working together with the Lamont-Doherty repository to install this software for their use. (4) Improving and automating annual data reporting to NSF using the OSU-MGR App. (5) Creating a data pipeline from the OSU-MGR App into the CDR online data repository for MST, CT and XRF sensor scanning data. (5) Organizing three OSU-MGR Antarctic Summer Schools in collaboration with IODP to serve between 20-30 participants who are graduate students, post-docs and early-career scientists from within the U.S. and worldwide.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",Oregon State University,ADJACENT,ADJACENT
7,1559733,"[""CollectiveAccess""]",[null],Implementation of a relational database for the Sternberg Museum paleontology collection,"Fort Hays State University's Sternberg Museum of Natural History (FHSM) is awarded a grant to digitized, image, curate, and archive paleontology specimen data into a centralized and publically accessible database. FHSM serves as a major public fossil repository and educational institution. The paleontology collection represents over 100 years of fossil collecting and includes vertebrate and invertebrate holdings that are critical for understanding past life in the Great Plains. The specimens are used extensively in research and as the basis for educational programs and exhibits. Many specimens within the collection have been donated by local landowners and need to be fully curated and integrated into the collection. Additionally, the collection lacks a digital database and no specimen data are available online.  This project will digitally preserve irreplaceable data and make specimen data (including images) available online for the first time. The digitization and sharing of these data will provide researchers, educators, students, and the general public with easy access to the collection, benefitting a broad audience. &lt;br/&gt;&lt;br/&gt;Funding ensures that digital records of FHSM specimens are properly achieved and easily accessible for research and educational uses. Project goals include transcribing hand-written records, building a relational database with online platform, integrating data and metadata into existing research databases, curating backlogged specimens, 2D and 3D imaging of fossil specimens, and developing educational resources. All paleontology specimens and specimen data will be digitized and databased into CollectiveAccess data management system, which is being adopted to house collection data. The application of modern collection management standards will enable researchers and educators from around the world access to specimen data. The Sternberg Museum provides science education for a large, yet rural, region, making online access to material imperative to the educational mission of the Museum. This project will also employ multiple Fort Hays State University graduate and undergraduate students over a three-year period. These students will be trained in curatorial and research techniques using the specimens digitized during the course of this project. Overall, this project will greatly enhance the significance of the FHSM paleontology collection by improving organization, accessibility, and research and education potential. Additional information about the paleontology collection at the Sternberg Museum can be found at http://sternberg.fhsu.edu/research-collections/collections/paleontology/.",Fort Hays State University,ADOPT,ADOPT
8,OT2DB000013,"[""Zenodo""]","[""CERN""]",,ZENODO AND THE GENERALIST REPOSITORY ECOSYSTEM INITIATIVE (GREI) - NO TEXT,[NORTHWESTERN UNIVERSITY],DIRECT,RESEARCH & DEVELOPMENT
9,hewlett:grants::creative-commons-for-a-project-to-increase-the-amount-of-foundation-content-published-under-creative-common-licenses,"[""Creative Commons Licenses""]","[""Creative Commons (independent 501(c)3)""]",For A Project To Increase The Amount Of Foundation Content Published Under Creative Common Licenses,"Creative Commons is an anchor grantee in the Education Program’s Open Educational Resources work. It is launching an initiative to increase the amount of content in the nonprofit sector that is covered under flexible Creative Commons licenses. These licenses make it easier for knowledge to be used, distributed, and remixed. This work would build on recent research in which foundations are encouraged to, where appropriate and aligned with their goals, orient internal policies and procedures around intellectual property towards openness.",Creative Commons,DIRECT,OTHER
10,1456832,"[""Dryad""]","[""Dryad (independent 501(c)3)""]",LTREB Renewal: Life History and Behavior in a Primate Hybrid Zone,"Hybridization (genetic mixing between two adjacent species) occurs in many animal and plant species, and is among the most important sources of new gene combinations and new traits in natural populations. Most studies describe hybridization at the population level, rather than describing how hybridization affects individuals. Understanding how hybridization affects individuals will reveal the processes that determine whether genes from one species permanently mix with those of another, or whether this mixing is limited to one or a few generations. Using a wild population of baboons in southern Kenya, this research will provide a detailed description of how hybridization affects individuals. As such, it will be an important model for similar processes in many other organisms, including ancestral humans (who are known to have hybridized with Neanderthals and, before that, with other members of the human lineage). The research involves an international team with substantial participation by women and underrepresented minorities. The team will also contribute teaching modules for middle schools and conduct numerous public outreach activities discussing baboon behavior.&lt;br/&gt;&lt;br/&gt;In the first five years of the LTREB project, the Principal Investigator measured the effects of hybridization on a suite of traits that could limit or enhance genetic introgression. The objective of this renewal is to expand this suite of traits, using methods or data that require the longer time horizon afforded by the LTREB mechanism. The specific aims are to (i) identify the sources of the admixture-by-sex interaction previously documented in the maturation schedules of wild baboons, (ii) measure the contribution of genetic admixture to social behaviors that predict male reproductive success, (iii) measure the contribution of genetic admixture to social behaviors that predict female reproductive performance, and (iv) measure the contribution of genetic admixture to social behaviors that predict female lifespan. The proposed work will produce an exceptionally detailed study of the effects of admixture on fitness-related traits in a naturally hybridizing mammal population, which in turn will help shape future hypotheses about mechanisms promoting or inhibiting genetic introgression during hybridization in other species. The data for this project will be stored on a web-accessible PostGreSQL database. A detailed description of the standards for data and metadata can be found in publicly available documents with links at the Amboseli Baboon Research Project website (https://amboselibaboons.nd.edu/ ). All datasets underlying published papers are deposited in the public Dryad Data Repository.",Duke University,ADJACENT,ADJACENT
