oi_name,current_host,former_hosts_founders_conduits,triggers_direct_orgs,notes
2i2c,Code for Science & Society,,Code for Science & Society,
Academic Preservation Trust (APTrust),University of Virginia Library,,University of Virginia,
AfricArXiv,UbuntuNet Alliance,,Access 2 Perspectives (A2P); UbuntuNet Alliance,
Arches Heritage Data Management Platform,Getty Conservation Institute / Farallon Geographics,,Getty Conservation Institute / Farallon Geographics,
Archipelago Commons,Metropolitan New York Library Council (METRO),,Metropolitan New York Library Council (METRO),
Archival Resource Key,ARK Alliance,,California Digital Library; ARK Alliance,
Archivematica,"Artefactual Systems (lead developer, not a formal host)",,Artefactual Systems,
ArchivesSpace,Lyrasis,Current: Lyrasis. Founding institutions (Archivists' Toolkit/Archon),Lyrasis; DuraSpace,
ARGOS,OpenAIRE,,OpenAIRE,
arXiv,Cornell University,,Cornell University,
AtoM,"Artefactual Systems (lead developer, not a formal host)",,Artefactual Systems,
Avalon Media System,Indiana University Libraries,,Indiana University,
Biodiversity Heritage Library,Council on Library and Information Resources (CLIR) (previously with the Smithsonian Institute),,Smithsonian Institute; Council on Library and Information Resources,
bioRxiv,openrXiv,"CSHL (former host, to 2025); -> openRxiv",Cold Spring Harbor Laboratory; openRxiv,
BitCurator Environment,Open Library Foundation,,Open Library Foundation; Educopia Institute,
Blacklight,(none/blank),,,
BrCRIS,IBICT,,IBICT,
Browsertrix,(none/blank),By Webrecorder; Webrecorder project was hosted at Rhizome before becoming independent,Webrecorder; Rhizome,
CLOCKSS,CLOCKSS Archive (independent 501(c)3),,CLOCKSS Archive; Stanford University,
COAR International Repository Directory (IRD),COAR,,COAR,
COAR Notify,COAR,,COAR,
CollectiveAccess,(none/blank),,Whirl-i-Gig,
CORE,The Open University (UK),,The Open University,
COUNTER Code of Practice,COUNTER (UK registered nonprofit),,COUNTER,
Creative Commons Licenses,Creative Commons (independent 501(c)3),,Creative Commons,
Crossref Metadata Retrieval,Crossref (operated by Publishers International Linking Association),,Crossref (operated by Publishers International Linking Association),
D4Science Infrastructure,Italian National Research Council (CNR) / ISTI,,Italian National Research Council (CNR) / ISTI,
DART (Digital Archivist's Resource Tool),University of Virginia,,University of Virginia,
Data Citation Corpus,DataCite e.V. (MakeDataCount),,DataCite e.V. (MakeDataCount),
Data Stewardship Wizard,Czech Technical University in Prague / ELIXIR-CZ,,Czech Technical University in Prague / ELIXIR-CZ,
Database Information System (DBIS),University Library of Regensburg (Universitätsbibliothek Regensburg),,University Library of Regensburg (Universitätsbibliothek Regensburg),
DataCite,DataCite e.V.,,DataCite e.V.,
DataLumos,"University of Michigan, Institute of Social Research",,"University of Michigan, Institute of Social Research",
Dataverse,Harvard University (IQSS),,Harvard University (IQSS),
Directory of Open Access Books,DOAB Foundation,,DOAB Foundation,
DLCM Backend,University of Geneva,,University of Geneva,
DLCM Portal,University of Geneva,,University of Geneva,
DMP Tool,California Digital Library,,California Digital Library,
Directory of Open Access Journals (DOAJ),DOAJ Fonden,,IS4OA; DOAJ Fonden; DOAJ; Lund University,
dokieli,(none/blank),,,
Dryad,Dryad (independent 501(c)3),NESCent (founding host); California Digital Library/UC (in-kind partner 2018-2023),NESCent; California Digital Library; University of California; Dryad,
DSpace,Lyrasis,MIT + HP (created 2002); DSpace Foundation (2007); DuraSpace (2009-2019) -> Lyrasis,MIT; Hewlett-Packard (HP); DSpace Foundation; DuraSpace; Lyrasis,
DuraCloud,Lyrasis,Launched by DuraSpace (2011); DuraSpace (2011-2019) -> Lyrasis,DuraSpace; Lyrasis,
eduID.africa,"AfricaConnect3 partners (UbuntuNet Alliance, WACREN, ASREN)",,UbuntuNet Alliance; WACREN; ASREN,
Electronic Journals Library (EZB),University Library of Regensburg (Universitätsbibliothek Regensburg),,University Library of Regensburg (Universitätsbibliothek Regensburg),
Episciences,"CCSD, CNRS",,"CCSD, CNRS",
EPrints,University of Southampton,,University of Southampton,
Érudit,Érudit consortium,,Érudit; Université de Montréal; Université Laval; Université du Québec à Montréal.,
Europe PMC,EMBL-EBI (European Molecular Biology Laboratory),,EMBL-EBI (European Molecular Biology Laboratory),
FAIR Signposting,"Data Archiving Networked Services (DANS), Old Dominion University, Los Alamos National Laboratory, Pacific Northwest National Laboratory",,"Data Archiving Networked Services (DANS), Old Dominion University, Los Alamos National Laboratory, Pacific Northwest National Laboratory",
FAIR Wizard,Codevence Solutions s.r.o.,,Codevence Solutions s.r.o.,
FAIRiCat,"Data Archiving Networked Services (DANS), Old Dominion University, Los Alamos National Laboratory, Pacific Northwest National Laboratory",,"Data Archiving Networked Services (DANS), Old Dominion University, Los Alamos National Laboratory, Pacific Northwest National Laboratory",
Fedora,Lyrasis,"Cornell U + U of Virginia (founding, 1997-2001, Mellon); Fedora Commons (2007, Moore-funded); DuraSpace (2009-2019) -> Lyrasis",Cornell University; University of Virginia; Fedora Commons; DuraSpace; Lyrasis,
fido,Artefactual,,Artefactual,
FOLIO,Open Library Foundation,,Open Library Foundation,
Fulcrum,University of Michigan / Michigan Publishing,,University of Michigan / Michigan Publishing,
Galaxy,(none/blank),,Penn State; Johns Hopkins University; Oregon Health & Science University (distributed),
GeoServer,Open Source Geospatial Foundation (OSGeo),,Open Source Geospatial Foundation (OSGeo),
Hyku,(none/blank),"PALNI/PALCI (dev partner, NOT direct - gold=ADOPT)",,
Hyrax,(none/blank),,,
ICPSR,"University of Michigan, Institute for Social Research",,University of Michigan,
IIIF,CLIR,,CLIR,
ImpactU,CoLaV; Universidad de Antioquia; the Universidad del Valle; the Universidad Externado de Colombia; Universidad Autonoma Latinoamericana,,"ImpactU is created and coordinated by CoLaV at the Universidad de Antioquia, the Universidad del Valle, the Universidad Externado de Colombia and the Universidad Autonoma Latinoamericana. It is in the process of constituting a national consortium authorized by ASCUN which will democratize ownership between all the Colombian institutions interested in membership.",
International Generic Sample Number (IGSN),DataCite,IGSN e.V. merged into DataCite (2021),DataCite; IGSN e.V.,
InvenioRDM,CERN,,"CERN, Northwestern University, California Institute of Technology, Graz University of Technology, Vienna University of Technology, OpenAIRE",
iRODS,"Renaissance Computing Institute (RENCI), University of North Carolina at Chapel Hill",,"Renaissance Computing Institute (RENCI), University of North Carolina at Chapel Hill",
Islandora,Islandora Foundation,University of Prince Edward Island,University of Prince Edward Island,
Janeway,"Birkbeck, University of London",,"Open Library of Humanities; Birkbeck, University of London",
JHOVE,Open Preservation Foundation,,Open Preservation Foundation,
Journal Article Tag Suite,NISO,Derived from NLM Journal Archiving DTD (National Library of Medicine); standardised by NISO,NISO; National Library of Medicine,
Keepers Registry,ISSN International Centre,"Originally developed by EDINA, University of Edinburgh; -> ISSN International Centre",ISSN International Centre; EDINA / University of Edinburgh,
Knowledge Commons,Michigan State University,MLA (host/fiscal sponsor 2016-2020); Columbia (CORE repo) -> MSU,Michigan State University; Modern Language Association,
LA Referencia,RedCLARA,,RedCLARA,
Manifold,University of Minnesota Press / CUNY Graduate Center,,University of Minnesota Press / CUNY Graduate Center,
medRxiv,openRxiv,"CSHL (former host, to 2025); Yale SoM, BMJ (founding partners); -> openRxiv",openRxiv; Cold Spring Harbor Laboratory,
Mendeley Data,Elsevier,,Elsevier; Mendeley Ltd,
