name_normalised,ror_id
[agence nationale de la recherche],https://ror.org/00rbzpz17
[agencia nacional de investigación y desarrollo],https://ror.org/02ap3w078
[arts and humanities research council],https://ror.org/0505m1554
[australian research council (arc)],https://ror.org/05mmh0f86
[austrian science fund],https://ror.org/013tf3c58
[biotechnology and biological sciences research council],https://ror.org/00cwqg982
[bundesministerium für bildung und forschung],https://ror.org/04pz7b180
[canadian institutes of health research],https://ror.org/01gavpb45
[croatian science foundation (csf)],https://ror.org/03n51vw80
[danmarks frie forskningsfond],https://ror.org/05svhj534
[deutsche forschungsgemeinschaft],https://ror.org/018mejw64
[economic and social research council],https://ror.org/03n0ht308
[engineering and physical sciences research council],https://ror.org/0439y7842
[european commission],https://ror.org/00k4n6c32
[french national research agency (anr)],https://ror.org/00rbzpz17
[fundação de amparo à pesquisa do estado de são paulo],https://ror.org/02ddkpn78
[fundação para a ciência e a tecnologia i p ],https://ror.org/00snfqn58
[grantová agentura české republiky],https://ror.org/01pv73b02
[innovaatiorahoituskeskus business finland],https://ror.org/05bgf9v38
[innovate uk],https://ror.org/05ar5fy68
[instituto de salud carlos iii],https://ror.org/00ca2c886
[japan society for the promotion of science],https://ror.org/00hhkn466
[karolinska institute],https://ror.org/056d84691
[kone foundation],https://ror.org/05jwty529
[medical research council],https://ror.org/03x94j517
[ministry of science education and sports of the republic of croatia (mses)],https://ror.org/0507etz14
[narodowe centrum nauki],https://ror.org/03ha2q922
[national aeronautics and space administration],https://ror.org/027ka1x80
[national health and medical research council (nhmrc)],https://ror.org/011kf5r70
[national institute for health and care research],https://ror.org/0187kwz08
[national institutes of health],https://ror.org/01cwqze88
[national science foundation],https://ror.org/021nxhr62
[natural environment research council],https://ror.org/02b5d8509
[natural sciences and engineering research council of canada],https://ror.org/01h531d29
[nederlandse organisatie voor wetenschappelijk onderzoek],https://ror.org/04jsz6e67
[research council of finland],https://ror.org/05k73zm37
[riksbankens jubileumsfond],https://ror.org/02jkbm893
[sakari alhopuro foundation],
[schweizerischer nationalfonds zur förderung der wissenschaftlichen forschung],https://ror.org/00yjd3n13
[science and technology facilities council],https://ror.org/057g20z61
[social sciences and humanities research council of canada],https://ror.org/04j5jqy92
[svenska kulturfonden],
[swedish environmental protection agency],https://ror.org/02y7nf053
[swedish governmental agency for innovation systems],https://ror.org/01kd5m353
[swedish heart-lung foundation],https://ror.org/052261q33
[swedish research council for environment agricultural sciences and spatial planning],https://ror.org/03pjs1y45
[swedish research council for health working life and welfare],https://ror.org/02d290r06
[swedish research council],https://ror.org/03zttf063
[templeton world charity foundation],https://ror.org/00x0z1472
[the finnish cultural foundation],https://ror.org/027xav248
[the foundation for the advancement of finnish securities markets],
[the swedish energy agency],https://ror.org/0359z7n90
[u s department of defense],https://ror.org/0447fe631
[u s department of energy],https://ror.org/01bj3aw27
[uk research and innovation],https://ror.org/001aqnf71
[wellcome trust],https://ror.org/029chgv08
alfred p sloan foundation,https://ror.org/052csg198
andrew w mellon foundation,https://ror.org/04jsh2530
arcadia fund,https://ror.org/051z6e826
bill & melinda gates foundation,https://ror.org/0456r8d26
chan zuckerberg initiative,https://ror.org/02qenvm24
department of defense,https://ror.org/0447fe631
department of health and human services,https://ror.org/033jnv181
heising simons foundation,https://ror.org/01mp52y34
institute of museum and library services,https://ror.org/030prv062
john d and catherine t macarthur foundation,https://ror.org/00dxczh48
national aeronautics and space administration,https://ror.org/027ka1x80
national endowment for the humanities,https://ror.org/02vdm1p28
national science foundation,https://ror.org/021nxhr62
robert wood johnson foundation,https://ror.org/02ymmdj85
sergey brin family foundation,
simons foundation,https://ror.org/01cmst727
social sciences and humanities research council,https://ror.org/04j5jqy92
the wellcome trust,https://ror.org/029chgv08
